"libro","titulo","capitulo","seccion","articulo","url"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","1/","https://www.conceptosjuridicos.com/codigo-penal-articulo-1/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","2/","https://www.conceptosjuridicos.com/codigo-penal-articulo-2/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","3/","https://www.conceptosjuridicos.com/codigo-penal-articulo-3/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","4/","https://www.conceptosjuridicos.com/codigo-penal-articulo-4/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","5/","https://www.conceptosjuridicos.com/codigo-penal-articulo-5/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","6/","https://www.conceptosjuridicos.com/codigo-penal-articulo-6/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","7/","https://www.conceptosjuridicos.com/codigo-penal-articulo-7/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","8/","https://www.conceptosjuridicos.com/codigo-penal-articulo-8/"
"NA","TÍTULO PRELIMINAR: De las garantías penales y de la aplicación de la Ley penal","NA","NA","9/","https://www.conceptosjuridicos.com/codigo-penal-articulo-9/"
"LIBRO I","Titulo I","Capítulo I",NA,"10/","https://www.conceptosjuridicos.com/codigo-penal-articulo-10/"
"LIBRO I","Título I","Capítulo I",NA,"11/","https://www.conceptosjuridicos.com/codigo-penal-articulo-11/"
"LIBRO I","Titulo I","Capítulo I",NA,"12/","https://www.conceptosjuridicos.com/codigo-penal-articulo-12/"
"LIBRO I","Titulo I","Capítulo I",NA,"13/","https://www.conceptosjuridicos.com/codigo-penal-articulo-13/"
"LIBRO I","Título I","Capítulo I",NA,"14/","https://www.conceptosjuridicos.com/codigo-penal-articulo-14/"
"LIBRO I","Titulo I","Capítulo I",NA,"15/","https://www.conceptosjuridicos.com/codigo-penal-articulo-15/"
"LIBRO I","Titulo I","Capítulo I",NA,"16/","https://www.conceptosjuridicos.com/codigo-penal-articulo-16/"
"LIBRO I","Título I","Capítulo I",NA,"17/","https://www.conceptosjuridicos.com/codigo-penal-articulo-17/"
"LIBRO I","Título I","Capítulo I",NA,"18/","https://www.conceptosjuridicos.com/codigo-penal-articulo-18/"
"LIBRO I","Titulo I","Capítulo II",NA,"19/","https://www.conceptosjuridicos.com/codigo-penal-articulo-19/"
"LIBRO I","Titulo I","Capítulo II",NA,"20/","https://www.conceptosjuridicos.com/codigo-penal-articulo-20/"
"LIBRO I","Titulo I","Capítulo III",NA,"21/","https://www.conceptosjuridicos.com/codigo-penal-articulo-21/"
"LIBRO I","Titulo I","Capítulo III",NA,"22/","https://www.conceptosjuridicos.com/codigo-penal-articulo-22/"
"LIBRO I","Titulo I","Capítulo III",NA,"23/","https://www.conceptosjuridicos.com/codigo-penal-articulo-23/"
"LIBRO I","Titulo I","Capítulo VI",NA,"24/","https://www.conceptosjuridicos.com/codigo-penal-articulo-24/"
"LIBRO I","Titulo I","Capítulo VI",NA,"25/","https://www.conceptosjuridicos.com/codigo-penal-articulo-25/"
"LIBRO I","Titulo I","Capítulo VI",NA,"26/","https://www.conceptosjuridicos.com/codigo-penal-articulo-26/"
